,V02322,V4105,V4621,V02426,UF
0,4.0,1,800.0,,11
1,,1,,,11
2,2.0,1,1150.0,2.0,11
3,2.0,1,793.0,2.0,11
4,4.0,1,2900.0,,11
5,2.0,1,1990.0,2.0,11
6,4.0,1,350.0,,11
7,4.0,1,1333.0,,11
8,2.0,1,818.0,2.0,11
9,,1,,,11
10,2.0,1,1716.0,2.0,11
11,2.0,1,2500.0,2.0,11
12,,1,,,11
13,2.0,1,1400.0,2.0,11
14,,1,,,11
15,2.0,1,666.0,2.0,11
16,4.0,1,788.0,,11
17,2.0,1,750.0,2.0,11
18,2.0,1,1437.0,2.0,11
19,2.0,1,600.0,4.0,11
20,2.0,1,933.0,2.0,11
21,4.0,1,1087.0,,11
22,,1,,,11
23,2.0,1,2666.0,2.0,11
24,,1,,,11
25,,1,,,11
26,4.0,1,700.0,,11
27,2.0,1,3325.0,2.0,11
28,2.0,1,3500.0,2.0,11
29,2.0,1,1172.0,2.0,11
30,4.0,1,1909.0,,11
31,2.0,1,3000.0,2.0,11
32,2.0,1,366.0,4.0,11
33,2.0,1,175.0,4.0,11
34,,1,,,11
35,4.0,1,262.0,,11
36,4.0,1,36.0,,11
37,2.0,1,596.0,4.0,11
38,4.0,1,999999999999.0,,11
39,2.0,1,196.0,4.0,11
40,4.0,1,788.0,,11
41,4.0,1,394.0,,11
42,2.0,1,975.0,4.0,11
43,2.0,1,850.0,4.0,11
44,2.0,1,2000.0,4.0,11
45,2.0,1,480.0,4.0,11
46,4.0,1,1262.0,,11
47,4.0,1,525.0,,11
48,4.0,1,530.0,,11
49,4.0,1,650.0,,11
50,2.0,1,666.0,4.0,11
51,4.0,1,2700.0,,11
52,4.0,1,835.0,,11
53,,1,1388.0,,11
54,2.0,1,2100.0,4.0,11
55,4.0,1,579.0,,11
56,,1,,,11
57,,1,,,11
58,4.0,1,1000.0,,11
59,,1,,,11
60,4.0,1,300.0,,11
61,4.0,1,225.0,,11
62,4.0,1,900.0,,11
63,4.0,1,394.0,,11
64,4.0,1,362.0,,11
65,4.0,1,312.0,,11
66,2.0,1,635.0,4.0,11
67,4.0,1,425.0,,11
68,4.0,1,394.0,,11
69,,1,,,11
70,4.0,1,250.0,,11
71,2.0,1,550.0,2.0,11
72,2.0,1,590.0,4.0,11
73,2.0,1,2800.0,4.0,11
74,2.0,1,625.0,2.0,11
75,4.0,1,1260.0,,11
76,2.0,1,1500.0,4.0,11
77,2.0,1,837.0,4.0,11
78,2.0,1,675.0,2.0,11
79,2.0,1,1766.0,2.0,11
80,2.0,1,2900.0,2.0,11
81,,1,,,11
82,4.0,1,1500.0,,11
83,4.0,1,863.0,,11
84,,1,,,11
85,2.0,1,617.0,2.0,11
86,4.0,1,750.0,,11
87,2.0,1,184.0,2.0,11
88,4.0,1,1250.0,,11
89,4.0,1,500.0,,11
90,4.0,1,550.0,,11
91,4.0,1,409.0,,11
92,4.0,1,215.0,,11
93,2.0,1,512.0,2.0,11
94,2.0,1,833.0,2.0,11
95,4.0,1,656.0,,11
96,2.0,1,490.0,4.0,11
97,2.0,1,232.0,2.0,11
98,,1,,,11
99,4.0,1,0.0,,11
100,,1,,,11
101,,1,,,11
102,2.0,1,530.0,2.0,11
103,,1,,,11
104,,1,,,11
105,2.0,1,505.0,4.0,11
106,,1,,,11
107,4.0,1,788.0,,11
108,4.0,1,262.0,,11
